section_id,country_code,country_name,election_region_code,election_region_name,municipality_code,municipality_name,city_region_code,city_region_name,section_code,town_code,town_name,place,voters_count,is_machine,is_mobile,is_ship,is_covid
010300004,00,България,01,Благоевград,03,Благоевград,,,004,4279,гр. Благоевград,"СУИЧЕ ""Климент Охридски"", ул. ""Брегалница"" №002",559,1,0,0,0
010300005,00,България,01,Благоевград,03,Благоевград,,,005,4279,гр. Благоевград,"СУИЧЕ ""Климент Охридски"", ул. ""Брегалница"" №002",644,1,0,0,0
010300006,00,България,01,Благоевград,03,Благоевград,,,006,4279,гр. Благоевград,"Детска градина №11 ""Здравец"", ул. ""Лале"" №011",630,1,0,0,0
010300007,00,България,01,Благоевград,03,Благоевград,,,007,4279,гр. Благоевград,"Детска градина №11 ""Здравец"", ул. ""Лале"" №011",638,1,0,0,0
010300008,00,България,01,Благоевград,03,Благоевград,,,008,4279,гр. Благоевград,"Помощно училище ""Св. Паисий Хилендарски"", ул. ""Свобода"" №3",684,1,0,0,0
010300009,00,България,01,Благоевград,03,Благоевград,,,009,4279,гр. Благоевград,"Помощно училище ""Св. Паисий Хилендарски"", ул. ""Свобода"" №3",702,1,0,0,0
010300010,00,България,01,Благоевград,03,Благоевград,,,010,4279,гр. Благоевград,"Помощно училище ""Св. Паисий Хилендарски"", ул. ""Свобода"" №3",717,1,0,0,0
010300011,00,България,01,Благоевград,03,Благоевград,,,011,4279,гр. Благоевград,"V СУ ""Георги Измирлиев"", ул. ""Христо Чернопеев"" №16",605,1,0,0,0
010300012,00,България,01,Благоевград,03,Благоевград,,,012,4279,гр. Благоевград,"V СУ ""Георги Измирлиев"", ул. ""Христо Чернопеев"" №16",591,1,0,0,0
010300013,00,България,01,Благоевград,03,Благоевград,,,013,4279,гр. Благоевград,"V СУ ""Георги Измирлиев"", ул. ""Христо Чернопеев"" №16",590,1,0,0,0
010300014,00,България,01,Благоевград,03,Благоевград,,,014,4279,гр. Благоевград,"V СУ ""Георги Измирлиев"", ул. ""Христо Чернопеев"" №16",563,1,0,0,0
010300015,00,България,01,Благоевград,03,Благоевград,,,015,4279,гр. Благоевград,"V СУ ""Георги Измирлиев"", ул. ""Христо Чернопеев"" №16",600,1,0,0,0
010300016,00,България,01,Благоевград,03,Благоевград,,,016,4279,гр. Благоевград,"ПХГ ""Св. Св. Кирил и Методий"", ул. ""Цанко Церковски"" №002",601,1,0,0,0
010300017,00,България,01,Благоевград,03,Благоевград,,,017,4279,гр. Благоевград,"Читалище ""Никола Вапцаров"", пл. ""Македония"" №1",531,1,0,0,0
010300018,00,България,01,Благоевград,03,Благоевград,,,018,4279,гр. Благоевград,"ПХГ ""Св. Св.кирил и Методий"", ул. ""Цанко Церковски"" №002",606,1,0,0,0
010300019,00,България,01,Благоевград,03,Благоевград,,,019,4279,гр. Благоевград,"II основно училище""Димитър Благоев"", ул. ""Митрополит Борис"" №2",556,1,0,0,0
010300020,00,България,01,Благоевград,03,Благоевград,,,020,4279,гр. Благоевград,"II основно училище""Димитър Благоев"", ул. ""Митрополит Борис"" №2",569,1,0,0,0
010300021,00,България,01,Благоевград,03,Благоевград,,,021,4279,гр. Благоевград,"Детска градина №8 ""Вечерница"", ул. ""Григор пърличев"" №005",391,1,0,0,0
010300022,00,България,01,Благоевград,03,Благоевград,,,022,4279,гр. Благоевград,"II основно училище""Димитър Благоев"", ул. ""Митрополит Борис"" №2",531,1,0,0,0
010300023,00,България,01,Благоевград,03,Благоевград,,,023,4279,гр. Благоевград,"II основно училище""Димитър Благоев"", ул. ""Митрополит Борис"" №2",585,1,0,0,0
010300024,00,България,01,Благоевград,03,Благоевград,,,024,4279,гр. Благоевград,"II основно училище""Димитър Благоев"", ул. ""Митрополит Борис"" №2",527,1,0,0,0
010300025,00,България,01,Благоевград,03,Благоевград,,,025,4279,гр. Благоевград,"II основно училище""Димитър Благоев"", ул. ""Митрополит Борис"" №2",610,1,0,0,0
010300026,00,България,01,Благоевград,03,Благоевград,,,026,4279,гр. Благоевград,"II основно училище""Димитър Благоев"", ул. ""Митрополит Борис"" №2",729,1,0,0,0
010300027,00,България,01,Благоевград,03,Благоевград,,,027,4279,гр. Благоевград,"ПГСАГ ""Васил Левски"", ул. тодор александров №56",676,1,0,0,0
010300028,00,България,01,Благоевград,03,Благоевград,,,028,4279,гр. Благоевград,"III основно училище""Димитър Талев"", бул. ""Св. св. Кирил и Методий"" №13",623,1,0,0,0
